ADI,TRECHO
Avenida Alm. Tamandaré,Intersecção com a Rodovia BR-282 Via Expressa até a intersecção com a Avenida Eng.Max de Souza
Rua Paula Ramos,Intersecção com a Rua Santos Saraiva até a intersecção com a Via Marginal de Acesso BR-282 Via Expressa
Avenida Alm. Tamandaré,Intersecção com a Rodovia BR-282 Via Expressa até a intersecção com a Avenida Governador Ivo Silveira
Rua Conte José Ricardo Nunes,Intersecção com a Avenida Governador Ivo Silveira até a intersecção com a Rua Santos Saraiva
Rua Capitão Savas,Intersecção com a Rua João Meirelles até a intersecção com a Rua Padre Osmar Muller
Rua Padre Osmar Muller,Toda sua extensão
Via Coletora Continetal CC2(1) (Projetada),Toda sua extensão
Avenida Patrício Caldeira de Andrade,Intersecção com a Rua Manoel Felix Cardoso até a intersecção com a Rua Profa. Sofia Quint de Souza
Avenida Patrício Caldeira de Andrade,Intersecção com a Rua Prof. Sofia Quint de Souza até a intersecção com a Avenida Ver. Nagib Jabor
Avenida Ver. Nagib Jabor,Intersecção com a Avenida Patrício Caldeira de Andrade até intersecção com a Rua Joaquim Nabuco
Travessa Pedro Antônio Corvalão,Toda sua extensão
Rua Cel. Caetano Costa,Intersecção com a Rua Araci Vaz Callado até a Rua Prefeito Rogério Vieira
Rua Pref. Rogério Vieira,Intersecção com a Rua Cel. Caetano Costa até a intersecção com a Rua Profa. Otília Cruz
Rua Profa. Otília Cruz,Intersecção com a Rua Pref. Rogério Vieira até a intersecção com a Avenida Max Schramm
Avenida Mar. Max Schramm,Toda sua extensão
Rua Sérgio Gil,Toda sua extensão
Rua Castro Alves,Toda sua extensão
Rua José de Anchieta,Intersecção com a Avenida Mar. Max Schramm até a intersecção com a Rua Sérgio Gil
Rua Pref. Dib Cherem,Intersecção com a Servidão Emília Antônio Gonçalves até a Rua Santos Saraiva
Rua Santos Saraiva,Da Rua Pref. Dib Cherem até a intersecção com a Rua Gen. Eurico Gaspar Dutra
Avenida Cláudio Alvim Barbosa,Intersecção com a Rua Quatorze de Julho até a intersecção com a Rua Castro Alves
Avenida Juscelino K. de Oliveira,Intersecção com a Avenida Gov. Ivo Silveira até a intersecção com a Rua Santos Saraiva
Rua Felipe Neves,Intersecção com a Rua Nossa Sra. do Rosário até a intersecção com a Rua Afonso Pena
Rua Irmã Bonavita,Toda sua extensão
Rua Edelberto de Oliveira,Toda sua extensão
Avenida Atlântica,Da Rua Edelberto de Oliveira até a intersecção com a Avenida Mar. Max Schramm
Rua Josué di Bernardi,Intersecção com a Rodovia BR-282 Via Expressa até a Rua Edelberto de Oliveira
Rua Des. Pedro Silva,Intersecção com a Rua João Meirelles até a Avenida Eng. Max de Souza
Avenida Eng. Max de Souza,Da Rua Des. Pedro Silva até a intersecção com a Rua São Cristóvão
Rua Pascoal Simone,Intersecção com a Rua São Cristóvão até a intersecção com a Rua Cel. Ivan Dentice Linhares
Rua Cel. Ivan Dentice Linhares,Intersecção com a Rua Pascoal Simone até a intersecção com a Rua São Cristóvão
Rua São Cristóvão,Intersecção com a Rua Cel. Ivan Dentice Linhares até a intersecção com a Avenida Eng. Max de Souza
Rua Cap. Savas,Intersecção com a Rua Padre Osmar Müller até a intersecção com a Rua Mons. Frederico Hobold
Rua Cel. Ivan Dentice Linhares,Intersecção com a SCC-32 (via projetada) até a intersecção com a Rua Pascoal Simone
SCC-32 (via projetada),Toda sua extensão
Rua Arthur Beck,Toda sua extensão
Rua Papa João XXIII,Da Rua Arthur Beck até a intersecção com a SCC-32 (via projetada)
Rua Mons. Frederico Hobold,Intersecção com a Rua Cap. Savas até a intersecção com a Rua Arthur Beck
